Age,Telomere Length
0.735294118,39.09774436
1.102941176,36.09022556
2.058823529,37.96992481
2.352941176,35.71428571
1.323529412,31.20300752
0.661764706,28.57142857
0.588235294,25.93984962
1.25,25.56390977
1.25,23.30827068
1.764705882,23.30827068
1.25,21.80451128
2.794117647,22.18045113
3.235294118,20.30075188
0.955882353,19.92481203
1.544117647,16.91729323
1.102941176,15.41353383
0.735294118,13.15789474
1.323529412,12.03007519
1.838235294,11.65413534
1.691176471,9.77443609
1.470588235,8.270676692
1.470588235,4.511278195
3.088235294,7.142857143
3.75,8.270676692
3.970588235,10.90225564
3.529411765,12.40601504
3.970588235,15.78947368
4.485294118,15.41353383
4.558823529,12.40601504
5.367647059,15.03759398
5.735294118,11.65413534
5.735294118,7.894736842
6.25,10.90225564
6.470588235,13.53383459
6.764705882,11.65413534
6.397058824,14.28571429
6.470588235,16.54135338
7.058823529,14.66165414
7.794117647,14.66165414
7.720588235,11.27819549
8.014705882,9.398496241
9.191176471,10.15037594
8.75,12.03007519
8.970588235,14.66165414
9.191176471,18.42105263
8.75,20.67669173
10,21.05263158
10.22058824,18.79699248
10.51470588,20.67669173
9.779411765,14.28571429
10.14705882,13.15789474
10,11.27819549
10.36764706,11.27819549
9.338235294,5.639097744
10.07352941,7.518796992
10.58823529,8.646616541
11.32352941,11.27819549
11.69117647,12.78195489
11.10294118,15.03759398
11.83823529,16.16541353
13.82352941,12.40601504
0.661764706,27.44360902
0.294117647,24.06015038
0.808823529,22.93233083
1.25,23.68421053
1.397058824,25.93984962
1.617647059,23.30827068
1.544117647,21.05263158
2.426470588,22.93233083
2.794117647,22.18045113
3.161764706,20.30075188
3.529411765,19.92481203
3.088235294,26.69172932
3.676470588,22.93233083
4.264705882,22.93233083
4.485294118,24.06015038
4.632352941,26.69172932
4.044117647,30.82706767
4.779411765,30.45112782
5.073529412,29.32330827
5.441176471,32.33082707
6.029411765,27.06766917
6.102941176,24.81203008
6.911764706,24.81203008
8.75,21.05263158
9.926470588,21.05263158
10.14705882,19.17293233
10.44117647,20.67669173
13.52941176,19.17293233
